RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.046875,4.369689464569092,,,
,0,19,,,0.0615234375,4.208401203155518,,,
,0,29,,,0.0625,4.175926208496094,,,
,0,39,,,0.078125,4.098339557647705,,,
,0,48,,,,,0.08320000022649765,0.08320000022649765,3.952723979949951
,1,49,,,0.08203125,4.030006408691406,,,
,1,59,,,0.0830078125,3.9246246814727783,,,
,1,69,,,0.0888671875,3.934502124786377,,,
,1,79,,,0.103515625,3.8686294555664062,,,
,1,89,,,0.109375,3.876028299331665,,,
,1,97,,,,,0.11620000004768372,0.11620000004768372,3.7113349437713623
,2,99,,,0.109375,3.8282175064086914,,,
,2,109,,,0.1181640625,3.7797601222991943,,,
,2,119,,,0.119140625,3.798755168914795,,,
,2,129,,,0.138671875,3.7247297763824463,,,
,2,139,,,0.130859375,3.7665398120880127,,,
,2,146,,,,,0.1412000060081482,0.1412000060081482,3.5930874347686768
,3,149,,,0.125,3.728209972381592,,,
,3,159,,,0.115234375,3.7642056941986084,,,
,3,169,,,0.1142578125,3.747328281402588,,,
,3,179,,,0.13671875,3.651397943496704,,,
,3,189,,,0.142578125,3.6519839763641357,,,
,3,195,,,,,0.1599999964237213,0.1599999964237213,3.4753384590148926
,4,199,,,0.12109375,3.6622722148895264,,,
,4,209,,,0.1455078125,3.564832925796509,,,
,4,219,,,0.1357421875,3.6273036003112793,,,
,4,229,,,0.1552734375,3.6060800552368164,,,
,4,239,,,0.146484375,3.6035139560699463,,,
,4,244,,,,,0.17339999973773956,0.17339999973773956,3.4266204833984375
,5,249,,,0.1494140625,3.612431526184082,,,
,5,259,,,0.1611328125,3.5440151691436768,,,
,5,269,,,0.138671875,3.5982117652893066,,,
,5,279,,,0.16015625,3.523258686065674,,,
,5,289,,,0.1806640625,3.5011391639709473,,,
,5,293,,,,,0.18479999899864197,0.18479999899864197,3.421243190765381
,6,299,,,0.13671875,3.599787712097168,,,
,6,309,,,0.1669921875,3.498432159423828,,,
,6,319,,,0.1611328125,3.5514297485351562,,,
,6,329,,,0.1826171875,3.4285728931427,,,
,6,339,,,0.1923828125,3.45017409324646,,,
,6,342,,,,,0.19840000569820404,0.19840000569820404,3.2844035625457764
,7,349,,,0.1767578125,3.4021494388580322,,,
,7,359,,,0.1845703125,3.4116711616516113,,,
,7,369,,,0.1513671875,3.491950511932373,,,
,7,379,,,0.1630859375,3.480072021484375,,,
,7,389,,,0.193359375,3.3543150424957275,,,
,7,391,,,,,0.21539999544620514,0.21539999544620514,3.245314359664917
,8,399,,,0.18359375,3.418025493621826,,,
,8,409,,,0.1767578125,3.4042534828186035,,,
,8,419,,,0.1923828125,3.3230695724487305,,,
,8,429,,,0.181640625,3.4170494079589844,,,
,8,439,,,0.1884765625,3.401172637939453,,,
,8,440,,,,,0.22380000352859497,0.22380000352859497,3.142547130584717
,9,449,,,0.1796875,3.356121063232422,,,
,9,459,,,0.1982421875,3.335538387298584,,,
,9,469,,,0.185546875,3.3772289752960205,,,
,9,479,,,0.1787109375,3.3793091773986816,,,
,9,489,,,0.16863207519054413,3.405677318572998,,,
,9,489,,,,,0.23839999735355377,0.23839999735355377,3.100497007369995
,10,499,,,0.1953125,3.325275182723999,,,
,10,509,,,0.1923828125,3.3692102432250977,,,
,10,519,,,0.1904296875,3.272482395172119,,,
,10,529,,,0.197265625,3.305338144302368,,,
,10,538,,,,,0.23839999735355377,0.2305999994277954,3.088203191757202
,11,539,,,0.2041015625,3.318277359008789,,,
,11,549,,,0.205078125,3.3436577320098877,,,
,11,559,,,0.201171875,3.30578875541687,,,
,11,569,,,0.2138671875,3.3170454502105713,,,
,11,579,,,0.203125,3.261995792388916,,,
,11,587,,,,,0.25119999051094055,0.25119999051094055,3.036940574645996
,12,589,,,0.2275390625,3.2133266925811768,,,
,12,599,,,0.2197265625,3.223012924194336,,,
,12,609,,,0.21875,3.2487287521362305,,,
,12,619,,,0.2109375,3.3033969402313232,,,
,12,629,,,0.208984375,3.2490553855895996,,,
,12,636,,,,,0.25519999861717224,0.25519999861717224,2.9827380180358887
,13,639,,,0.23046875,3.2050812244415283,,,
,13,649,,,0.2314453125,3.1899473667144775,,,
,13,659,,,0.2060546875,3.218388795852661,,,
,13,669,,,0.2099609375,3.1614878177642822,,,
,13,679,,,0.2119140625,3.189453601837158,,,
,13,685,,,,,0.25519999861717224,0.25459998846054077,3.0038936138153076
,14,689,,,0.22265625,3.2056922912597656,,,
,14,699,,,0.201171875,3.3034191131591797,,,
,14,709,,,0.212890625,3.1843011379241943,,,
,14,719,,,0.2333984375,3.150630474090576,,,
,14,729,,,0.228515625,3.155360698699951,,,
,14,734,,,,,0.2565999925136566,0.2565999925136566,2.956575632095337
,15,739,,,0.220703125,3.2269368171691895,,,
,15,749,,,0.2216796875,3.2244820594787598,,,
,15,759,,,0.22265625,3.1502435207366943,,,
,15,769,,,0.228515625,3.1338396072387695,,,
,15,779,,,0.228515625,3.1623644828796387,,,
,15,783,,,,,0.2565999925136566,0.25,3.0115413665771484
,16,789,,,0.228515625,3.157327890396118,,,
,16,799,,,0.21484375,3.212506055831909,,,
,16,809,,,0.2373046875,3.1543755531311035,,,
,16,819,,,0.2138671875,3.1873316764831543,,,
,16,829,,,0.22265625,3.200180768966675,,,
,16,832,,,,,0.29179999232292175,0.29179999232292175,2.8779265880584717
,17,839,,,0.216796875,3.175452470779419,,,
,17,849,,,0.2236328125,3.140197992324829,,,
,17,859,,,0.21875,3.1330008506774902,,,
,17,869,,,0.2392578125,3.1024134159088135,,,
,17,879,,,0.232421875,3.1667776107788086,,,
,17,881,,,,,0.29179999232292175,0.27160000801086426,2.9655425548553467
,18,889,,,0.2529296875,3.028836488723755,,,
,18,899,,,0.228515625,3.067371368408203,,,
,18,909,,,0.2470703125,3.0506575107574463,,,
,18,919,,,0.220703125,3.1186516284942627,,,
,18,929,,,0.2021484375,3.2302441596984863,,,
,18,930,,,,,0.29179999232292175,0.2773999869823456,2.8740248680114746
,19,939,,,0.2294921875,3.1157095432281494,,,
,19,949,,,0.220703125,3.221186876296997,,,
,19,959,,,0.2470703125,3.1043944358825684,,,
,19,969,,,0.2177734375,3.141857147216797,,,
,19,979,,,0.23349057137966156,3.1293416023254395,,,
,19,979,,,,,0.29179999232292175,0.26019999384880066,2.982452154159546
,20,989,,,0.23046875,3.043593168258667,,,
,20,999,,,0.23828125,3.002098560333252,,,
,20,1009,,,0.251953125,3.043673038482666,,,
,20,1019,,,0.234375,3.102864980697632,,,
,20,1028,,,,,0.29179999232292175,0.272599995136261,2.950061798095703
,21,1029,,,0.2314453125,3.0099973678588867,,,
,21,1039,,,0.2548828125,3.0675346851348877,,,
,21,1049,,,0.25390625,2.9528584480285645,,,
,21,1059,,,0.2255859375,3.114485502243042,,,
,21,1069,,,0.251953125,3.0507450103759766,,,
,21,1077,,,,,0.29179999232292175,0.29120001196861267,2.855633497238159
,22,1079,,,0.2548828125,2.9894182682037354,,,
,22,1089,,,0.2275390625,3.0198237895965576,,,
,22,1099,,,0.26953125,3.0308003425598145,,,
,22,1109,,,0.2744140625,2.9554624557495117,,,
,22,1119,,,0.2353515625,3.0880444049835205,,,
,22,1126,,,,,0.2937999963760376,0.2937999963760376,2.8325419425964355
,23,1129,,,0.251953125,2.986384153366089,,,
,23,1139,,,0.2236328125,3.1721444129943848,,,
,23,1149,,,0.2568359375,2.918290376663208,,,
,23,1159,,,0.259765625,3.0368471145629883,,,
,23,1169,,,0.2587890625,3.028468608856201,,,
,23,1175,,,,,0.2937999963760376,0.28679999709129333,2.8736767768859863
,24,1179,,,0.2724609375,2.9577267169952393,,,
,24,1189,,,0.2353515625,3.05599045753479,,,
,24,1199,,,0.2451171875,3.0760762691497803,,,
,24,1209,,,0.2353515625,3.1266603469848633,,,
,24,1219,,,0.2548828125,3.0524325370788574,,,
,24,1224,,,,,0.2937999963760376,0.27720001339912415,2.9387753009796143
,25,1229,,,0.251953125,2.954601287841797,,,
,25,1239,,,0.2255859375,3.0388455390930176,,,
,25,1249,,,0.255859375,3.0129809379577637,,,
