RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.0263671875,4.487109661102295,,,
,0,19,,,0.0458984375,4.251237869262695,,,
,0,29,,,0.052734375,4.134457111358643,,,
,0,39,,,0.064453125,4.106800556182861,,,
,0,48,,,,,0.066600002348423,0.066600002348423,4.212496280670166
,1,49,,,0.0810546875,4.02357816696167,,,
,1,59,,,0.0791015625,4.015861511230469,,,
,1,69,,,0.1025390625,3.8196167945861816,,,
,1,79,,,0.0966796875,3.8335728645324707,,,
,1,89,,,0.1103515625,3.8442018032073975,,,
,1,97,,,,,0.10660000145435333,0.10660000145435333,3.7332100868225098
,2,99,,,0.1171875,3.7710072994232178,,,
,2,109,,,0.103515625,3.779282808303833,,,
,2,119,,,0.1005859375,3.8025295734405518,,,
,2,129,,,0.1328125,3.704801082611084,,,
,2,139,,,0.1123046875,3.765275239944458,,,
,2,146,,,,,0.1412000060081482,0.1412000060081482,3.6176886558532715
,3,149,,,0.1162109375,3.697225570678711,,,
,3,159,,,0.13671875,3.629350423812866,,,
,3,169,,,0.142578125,3.638638973236084,,,
,3,179,,,0.14453125,3.642590045928955,,,
,3,189,,,0.146484375,3.602940082550049,,,
,3,195,,,,,0.1762000024318695,0.1762000024318695,3.3716869354248047
,4,199,,,0.14453125,3.607865571975708,,,
,4,209,,,0.1435546875,3.5792043209075928,,,
,4,219,,,0.1630859375,3.571146011352539,,,
,4,229,,,0.1865234375,3.3991804122924805,,,
,4,239,,,0.1591796875,3.5812644958496094,,,
,4,244,,,,,0.1762000024318695,0.16660000383853912,3.4562828540802
,5,249,,,0.166015625,3.5113251209259033,,,
,5,259,,,0.15234375,3.501389503479004,,,
,5,269,,,0.1689453125,3.4161229133605957,,,
,5,279,,,0.1826171875,3.4158411026000977,,,
,5,289,,,0.162109375,3.4539635181427,,,
,5,293,,,,,0.20640000700950623,0.20640000700950623,3.2103512287139893
,6,299,,,0.1728515625,3.3697524070739746,,,
,6,309,,,0.1748046875,3.3649086952209473,,,
,6,319,,,0.1689453125,3.413374662399292,,,
,6,329,,,0.1787109375,3.417095184326172,,,
,6,339,,,0.2001953125,3.296135187149048,,,
,6,342,,,,,0.21899999678134918,0.21899999678134918,3.155477523803711
,7,349,,,0.1923828125,3.3251118659973145,,,
,7,359,,,0.1826171875,3.3994407653808594,,,
,7,369,,,0.1748046875,3.3719727993011475,,,
,7,379,,,0.1953125,3.3889102935791016,,,
,7,389,,,0.185546875,3.322847604751587,,,
,7,391,,,,,0.22439999878406525,0.22439999878406525,3.0878329277038574
,8,399,,,0.2158203125,3.230663537979126,,,
,8,409,,,0.2236328125,3.1523375511169434,,,
,8,419,,,0.224609375,3.198369264602661,,,
,8,429,,,0.22265625,3.2784526348114014,,,
,8,439,,,0.2099609375,3.2212624549865723,,,
,8,440,,,,,0.22460000216960907,0.22460000216960907,3.1599833965301514
,9,449,,,0.2099609375,3.174687623977661,,,
,9,459,,,0.2177734375,3.2130701541900635,,,
,9,469,,,0.2060546875,3.1464529037475586,,,
,9,479,,,0.23046875,3.162879705429077,,,
,9,489,,,0.2158018797636032,3.2594547271728516,,,
,9,489,,,,,0.25,0.25,2.9942023754119873
,10,499,,,0.2216796875,3.1524839401245117,,,
,10,509,,,0.208984375,3.235600709915161,,,
,10,519,,,0.234375,3.2099621295928955,,,
,10,529,,,0.20703125,3.2364048957824707,,,
,10,538,,,,,0.25,0.2433999925851822,3.0642356872558594
,11,539,,,0.228515625,3.122258186340332,,,
,11,549,,,0.224609375,3.0873382091522217,,,
,11,559,,,0.224609375,3.14068603515625,,,
,11,569,,,0.2236328125,3.139554738998413,,,
,11,579,,,0.203125,3.155384063720703,,,
,11,587,,,,,0.2680000066757202,0.2680000066757202,2.9283857345581055
,12,589,,,0.2392578125,3.0688445568084717,,,
,12,599,,,0.2373046875,3.0732369422912598,,,
,12,609,,,0.2255859375,3.094257354736328,,,
,12,619,,,0.2255859375,3.1525778770446777,,,
,12,629,,,0.2578125,3.029491424560547,,,
,12,636,,,,,0.29100000858306885,0.29100000858306885,2.81060791015625
,13,639,,,0.2646484375,2.9911961555480957,,,
,13,649,,,0.2412109375,3.1472842693328857,,,
,13,659,,,0.2294921875,3.0534145832061768,,,
,13,669,,,0.25390625,3.052398681640625,,,
,13,679,,,0.23828125,2.993511438369751,,,
,13,685,,,,,0.29100000858306885,0.2858000099658966,2.8225998878479004
,14,689,,,0.255859375,2.977290391921997,,,
,14,699,,,0.251953125,3.0221006870269775,,,
,14,709,,,0.251953125,2.9798202514648438,,,
,14,719,,,0.2763671875,2.9164364337921143,,,
,14,729,,,0.2705078125,2.9548404216766357,,,
,14,734,,,,,0.29100000858306885,0.28459998965263367,2.8760533332824707
,15,739,,,0.263671875,3.0061373710632324,,,
,15,749,,,0.255859375,2.939358949661255,,,
,15,759,,,0.2626953125,3.0008225440979004,,,
,15,769,,,0.2783203125,2.897843599319458,,,
,15,779,,,0.2529296875,2.9540059566497803,,,
