RTD_score,epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
,0,9,,,0.0244140625,4.448123931884766,,,
,0,19,,,0.0478515625,4.237726211547852,,,
,0,29,,,0.05078125,4.189826965332031,,,
,0,39,,,0.05859375,4.152708530426025,,,
,0,48,,,,,0.041999999433755875,0.041999999433755875,4.210553169250488
,1,49,,,0.0400390625,4.120601177215576,,,
,1,59,,,0.064453125,4.0865983963012695,,,
,1,69,,,0.0732421875,3.9829423427581787,,,
,1,79,,,0.0732421875,3.988223075866699,,,
,1,89,,,0.0849609375,3.954110622406006,,,
,1,97,,,,,0.0868000015616417,0.0868000015616417,3.8894569873809814
,2,99,,,0.078125,3.947396755218506,,,
,2,109,,,0.080078125,4.021632671356201,,,
,2,119,,,0.078125,3.9398927688598633,,,
,2,129,,,0.1005859375,3.793025493621826,,,
,2,139,,,0.09765625,3.8532350063323975,,,
,2,146,,,,,0.10400000214576721,0.10400000214576721,3.7490267753601074
,3,149,,,0.0947265625,3.833603858947754,,,
,3,159,,,0.099609375,3.823129653930664,,,
,3,169,,,0.099609375,3.755793333053589,,,
,3,179,,,0.1044921875,3.7486772537231445,,,
,3,189,,,0.1025390625,3.7472379207611084,,,
,3,195,,,,,0.10400000214576721,0.09939999878406525,3.8092169761657715
,4,199,,,0.115234375,3.743514060974121,,,
,4,209,,,0.119140625,3.7662909030914307,,,
,4,219,,,0.1025390625,3.7506935596466064,,,
,4,229,,,0.10546875,3.772660493850708,,,
,4,239,,,0.1220703125,3.695716619491577,,,
,4,244,,,,,0.1298000067472458,0.1298000067472458,3.6155128479003906
,5,249,,,0.1220703125,3.661797523498535,,,
,5,259,,,0.12890625,3.580761671066284,,,
,5,269,,,0.111328125,3.6948249340057373,,,
,5,279,,,0.1162109375,3.6102631092071533,,,
,5,289,,,0.140625,3.6569323539733887,,,
,5,293,,,,,0.15940000116825104,0.15940000116825104,3.4553768634796143
,6,299,,,0.134765625,3.5997564792633057,,,
,6,309,,,0.146484375,3.5703535079956055,,,
,6,319,,,0.146484375,3.638479471206665,,,
,6,329,,,0.1513671875,3.476607084274292,,,
,6,339,,,0.1318359375,3.6022210121154785,,,
,6,342,,,,,0.16359999775886536,0.16359999775886536,3.424882411956787
,7,349,,,0.1484375,3.5302319526672363,,,
,7,359,,,0.1484375,3.5684728622436523,,,
,7,369,,,0.146484375,3.654348611831665,,,
,7,379,,,0.12109375,3.5588455200195312,,,
,7,389,,,0.1357421875,3.5853936672210693,,,
,7,391,,,,,0.16359999775886536,0.16279999911785126,3.4031567573547363
,8,399,,,0.14453125,3.4246649742126465,,,
,8,409,,,0.142578125,3.5413010120391846,,,
,8,419,,,0.1455078125,3.469348907470703,,,
,8,429,,,0.1435546875,3.4990105628967285,,,
,8,439,,,0.16015625,3.471728801727295,,,
,8,440,,,,,0.16899999976158142,0.16899999976158142,3.414679765701294
,9,449,,,0.1572265625,3.464259624481201,,,
,9,459,,,0.1748046875,3.4258687496185303,,,
,9,469,,,0.1669921875,3.464446544647217,,,
,9,479,,,0.162109375,3.5020346641540527,,,
,9,489,,,0.15801887214183807,3.4305336475372314,,,
,9,489,,,,,0.18880000710487366,0.18880000710487366,3.2536487579345703
,10,499,,,0.177734375,3.307328224182129,,,
,10,509,,,0.1728515625,3.382366418838501,,,
,10,519,,,0.1943359375,3.3742737770080566,,,
,10,529,,,0.1767578125,3.3694353103637695,,,
,10,538,,,,,0.19660000503063202,0.19660000503063202,3.2634968757629395
,11,539,,,0.169921875,3.395209550857544,,,
,11,549,,,0.1865234375,3.2382454872131348,,,
