epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.025390625,4.4473347663879395,,,
0,19,,,0.056640625,4.226656436920166,,,
0,29,,,0.0556640625,4.1743011474609375,,,
0,39,,,0.046875,4.164462566375732,,,
0,48,,,,,0.055399999022483826,0.055399999022483826,4.084544658660889
1,49,,,0.0712890625,4.026814937591553,,,
1,59,,,0.0654296875,4.032802104949951,,,
1,69,,,0.080078125,4.011072158813477,,,
1,79,,,0.0703125,3.9977822303771973,,,
1,89,,,0.08203125,3.987179756164551,,,
1,97,,,,,0.07900000363588333,0.07900000363588333,3.8823981285095215
2,99,,,0.0703125,3.963127374649048,,,
2,109,,,0.0732421875,3.9481542110443115,,,
2,119,,,0.0947265625,3.8773233890533447,,,
2,129,,,0.1064453125,3.91220760345459,,,
2,139,,,0.09375,3.8934340476989746,,,
2,146,,,,,0.10660000145435333,0.10660000145435333,3.7869772911071777
3,149,,,0.11328125,3.826881170272827,,,
3,159,,,0.111328125,3.857755184173584,,,
3,169,,,0.103515625,3.801823139190674,,,
3,179,,,0.1162109375,3.733293056488037,,,
3,189,,,0.0966796875,3.74686861038208,,,
3,195,,,,,0.11599999666213989,0.11599999666213989,3.6689414978027344
4,199,,,0.1123046875,3.6808016300201416,,,
4,209,,,0.111328125,3.6826353073120117,,,
4,219,,,0.115234375,3.7909085750579834,,,
4,229,,,0.13671875,3.7016756534576416,,,
4,239,,,0.1162109375,3.7511250972747803,,,
4,244,,,,,0.12319999933242798,0.12319999933242798,3.64372181892395
5,249,,,0.1220703125,3.656575918197632,,,
5,259,,,0.1181640625,3.6961545944213867,,,
5,269,,,0.1328125,3.6493124961853027,,,
5,279,,,0.1171875,3.6780169010162354,,,
5,289,,,0.1298828125,3.5826570987701416,,,
5,293,,,,,0.1298000067472458,0.1298000067472458,3.614583969116211
6,299,,,0.1533203125,3.5745506286621094,,,
6,309,,,0.1435546875,3.5570549964904785,,,
6,319,,,0.126953125,3.6276631355285645,,,
6,329,,,0.146484375,3.6098339557647705,,,
6,339,,,0.1572265625,3.5398032665252686,,,
6,342,,,,,0.13779999315738678,0.13779999315738678,3.594625473022461
7,349,,,0.150390625,3.530867338180542,,,
7,359,,,0.14453125,3.552056312561035,,,
7,369,,,0.1455078125,3.5341384410858154,,,
7,379,,,0.154296875,3.474900245666504,,,
7,389,,,0.1474609375,3.546191692352295,,,
7,391,,,,,0.17479999363422394,0.17479999363422394,3.3595778942108154
8,399,,,0.1572265625,3.5002048015594482,,,
8,409,,,0.1298828125,3.5465121269226074,,,
8,419,,,0.169921875,3.5134570598602295,,,
8,429,,,0.1572265625,3.5047059059143066,,,
8,439,,,0.1533203125,3.578244686126709,,,
