epoch,step,test/accuracy,test/loss,train/accuracy,train/loss,val/acc_best,val/accuracy,val/loss
0,9,,,0.02734375,4.4636383056640625,,,
0,19,,,0.033203125,4.280700206756592,,,
0,29,,,0.048828125,4.17431640625,,,
0,39,,,0.0673828125,4.132948875427246,,,
0,48,,,,,0.04340000078082085,0.04340000078082085,4.181593894958496
1,49,,,0.048828125,4.112614631652832,,,
1,59,,,0.0546875,4.079292297363281,,,
1,69,,,0.078125,4.044403553009033,,,
1,79,,,0.0634765625,4.031968116760254,,,
1,89,,,0.0615234375,3.964336633682251,,,
1,97,,,,,0.08100000023841858,0.08100000023841858,3.8907101154327393
2,99,,,0.0771484375,3.8870978355407715,,,
2,109,,,0.0888671875,3.8908064365386963,,,
2,119,,,0.0791015625,3.9555673599243164,,,
2,129,,,0.0849609375,3.88560152053833,,,
2,139,,,0.0986328125,3.8244106769561768,,,
2,146,,,,,0.09080000221729279,0.09080000221729279,3.855950117111206
3,149,,,0.1005859375,3.8066983222961426,,,
3,159,,,0.0966796875,3.8189597129821777,,,
3,169,,,0.09375,3.820859670639038,,,
3,179,,,0.109375,3.7543833255767822,,,
3,189,,,0.109375,3.7397336959838867,,,
3,195,,,,,0.11559999734163284,0.11559999734163284,3.6660053730010986
4,199,,,0.130859375,3.702042818069458,,,
4,209,,,0.126953125,3.6954398155212402,,,
4,219,,,0.0986328125,3.7901785373687744,,,
4,229,,,0.1337890625,3.6392979621887207,,,
4,239,,,0.1171875,3.6262500286102295,,,
4,244,,,,,0.13179999589920044,0.13179999589920044,3.5659992694854736
5,249,,,0.111328125,3.7231109142303467,,,
5,259,,,0.1376953125,3.6129181385040283,,,
5,269,,,0.123046875,3.7149271965026855,,,
5,279,,,0.1533203125,3.582066774368286,,,
5,289,,,0.13671875,3.62580943107605,,,
5,293,,,,,0.1573999971151352,0.1573999971151352,3.431835889816284
6,299,,,0.1298828125,3.6123006343841553,,,
6,309,,,0.130859375,3.577202796936035,,,
6,319,,,0.1328125,3.553478956222534,,,
6,329,,,0.1416015625,3.609086751937866,,,
6,339,,,0.1513671875,3.5780584812164307,,,
6,342,,,,,0.16179999709129333,0.16179999709129333,3.4187607765197754
7,349,,,0.1318359375,3.557145118713379,,,
7,359,,,0.162109375,3.4256591796875,,,
7,369,,,0.146484375,3.5207173824310303,,,
7,379,,,0.1650390625,3.4644553661346436,,,
7,389,,,0.1796875,3.3642263412475586,,,
7,391,,,,,0.16179999709129333,0.155799999833107,3.458307981491089
8,399,,,0.15625,3.4418113231658936,,,
8,409,,,0.169921875,3.4019083976745605,,,
8,419,,,0.1591796875,3.4656567573547363,,,
8,429,,,0.1650390625,3.387622594833374,,,
8,439,,,0.166015625,3.406442165374756,,,
8,440,,,,,0.1907999962568283,0.1907999962568283,3.2108492851257324
9,449,,,0.177734375,3.3935420513153076,,,
9,459,,,0.1728515625,3.418771743774414,,,
9,469,,,0.1884765625,3.325413703918457,,,
9,479,,,0.181640625,3.33443284034729,,,
9,489,,,0.17570754885673523,3.436016082763672,,,
9,489,,,,,0.1907999962568283,0.18440000712871552,3.258122205734253
10,499,,,0.193359375,3.3040060997009277,,,
10,509,,,0.19921875,3.292581796646118,,,
10,519,,,0.216796875,3.2506299018859863,,,
10,529,,,0.1953125,3.2639319896698,,,
10,538,,,,,0.2093999981880188,0.2093999981880188,3.1829493045806885
11,539,,,0.1953125,3.267084836959839,,,
11,549,,,0.1962890625,3.1354691982269287,,,
11,559,,,0.205078125,3.251837730407715,,,
11,569,,,0.216796875,3.2835328578948975,,,
11,579,,,0.181640625,3.253801107406616,,,
11,587,,,,,0.241799995303154,0.241799995303154,3.0232489109039307
12,589,,,0.216796875,3.193192481994629,,,
12,599,,,0.20703125,3.0964202880859375,,,
12,609,,,0.2099609375,3.2214713096618652,,,
12,619,,,0.2099609375,3.2136964797973633,,,
12,629,,,0.2060546875,3.282905101776123,,,
12,636,,,,,0.241799995303154,0.21199999749660492,3.227386951446533
13,639,,,0.2255859375,3.158104419708252,,,
13,649,,,0.21484375,3.1249802112579346,,,
13,659,,,0.220703125,3.152919054031372,,,
13,669,,,0.2412109375,3.0435099601745605,,,
13,679,,,0.212890625,3.1421360969543457,,,
13,685,,,,,0.2558000087738037,0.2558000087738037,2.8965938091278076
14,689,,,0.234375,3.1482741832733154,,,
14,699,,,0.2021484375,3.1461071968078613,,,
14,709,,,0.2392578125,3.068265438079834,,,
14,719,,,0.2158203125,3.1150310039520264,,,
14,729,,,0.25390625,3.027461051940918,,,
14,734,,,,,0.2694000005722046,0.2694000005722046,2.9449315071105957
15,739,,,0.2392578125,3.034447193145752,,,
15,749,,,0.2626953125,2.947293281555176,,,
15,759,,,0.2568359375,3.022108793258667,,,
15,769,,,0.2509765625,3.025263786315918,,,
15,779,,,0.22265625,3.0389063358306885,,,
15,783,,,,,0.29319998621940613,0.29319998621940613,2.7508645057678223
16,789,,,0.2548828125,2.9834351539611816,,,
16,799,,,0.26953125,2.8796584606170654,,,
16,809,,,0.255859375,2.949195384979248,,,
16,819,,,0.2509765625,2.972339153289795,,,
16,829,,,0.267578125,2.947979211807251,,,
16,832,,,,,0.3149999976158142,0.3149999976158142,2.600322961807251
17,839,,,0.2919921875,2.889155387878418,,,
17,849,,,0.251953125,2.9459445476531982,,,
17,859,,,0.27734375,2.866680860519409,,,
17,869,,,0.2744140625,2.7957184314727783,,,
17,879,,,0.2578125,2.914881944656372,,,
17,881,,,,,0.3149999976158142,0.2825999855995178,2.8644216060638428
18,889,,,0.298828125,2.7817983627319336,,,
18,899,,,0.251953125,2.9657602310180664,,,
18,909,,,0.275390625,2.8570449352264404,,,
18,919,,,0.2724609375,2.801208734512329,,,
18,929,,,0.26171875,2.9283053874969482,,,
18,930,,,,,0.3149999976158142,0.31200000643730164,2.7322585582733154
19,939,,,0.2861328125,2.814974546432495,,,
19,949,,,0.294921875,2.762850761413574,,,
19,959,,,0.3076171875,2.764254331588745,,,
19,969,,,0.27734375,2.8689446449279785,,,
19,979,,,0.28183960914611816,2.811103582382202,,,
19,979,,,,,0.33320000767707825,0.33320000767707825,2.575425624847412
20,989,,,0.3095703125,2.7441494464874268,,,
20,999,,,0.2744140625,2.8766515254974365,,,
20,1009,,,0.2900390625,2.7699191570281982,,,
20,1019,,,0.2939453125,2.8050429821014404,,,
20,1028,,,,,0.36340001225471497,0.36340001225471497,2.4160258769989014
21,1029,,,0.314453125,2.643000841140747,,,
21,1039,,,0.2978515625,2.798238754272461,,,
21,1049,,,0.3173828125,2.6915857791900635,,,
21,1059,,,0.2841796875,2.822882890701294,,,
21,1069,,,0.32421875,2.7124176025390625,,,
21,1077,,,,,0.36340001225471497,0.3596000075340271,2.3990373611450195
22,1079,,,0.328125,2.6590304374694824,,,
22,1089,,,0.333984375,2.6556053161621094,,,
22,1099,,,0.322265625,2.5823941230773926,,,
22,1109,,,0.3134765625,2.6314711570739746,,,
22,1119,,,0.283203125,2.8334250450134277,,,
22,1126,,,,,0.37560001015663147,0.37560001015663147,2.3642995357513428
23,1129,,,0.34375,2.6279118061065674,,,
23,1139,,,0.29296875,2.7430241107940674,,,
23,1149,,,0.2998046875,2.714695692062378,,,
23,1159,,,0.3115234375,2.7192704677581787,,,
23,1169,,,0.322265625,2.635490894317627,,,
23,1175,,,,,0.37560001015663147,0.3630000054836273,2.4049429893493652
24,1179,,,0.328125,2.6599621772766113,,,
24,1189,,,0.3251953125,2.69173264503479,,,
24,1199,,,0.3076171875,2.6928329467773438,,,
24,1209,,,0.310546875,2.6974971294403076,,,
24,1219,,,0.3310546875,2.625917911529541,,,
24,1224,,,,,0.37560001015663147,0.365200012922287,2.4460299015045166
25,1229,,,0.3388671875,2.5696074962615967,,,
25,1239,,,0.3408203125,2.5239269733428955,,,
25,1249,,,0.318359375,2.6862499713897705,,,
25,1259,,,0.34375,2.523759126663208,,,
25,1269,,,0.3232421875,2.6542751789093018,,,
25,1273,,,,,0.38839998841285706,0.38839998841285706,2.3321735858917236
26,1279,,,0.3701171875,2.4745864868164062,,,
26,1289,,,0.349609375,2.5346908569335938,,,
26,1299,,,0.314453125,2.6494038105010986,,,
26,1309,,,0.373046875,2.4450957775115967,,,
26,1319,,,0.3427734375,2.502288818359375,,,
26,1322,,,,,0.38839998841285706,0.3763999938964844,2.43420147895813
27,1329,,,0.3515625,2.4917867183685303,,,
27,1339,,,0.3115234375,2.659816265106201,,,
27,1349,,,0.3564453125,2.5230507850646973,,,
27,1359,,,0.3310546875,2.5796375274658203,,,
27,1369,,,0.341796875,2.537243604660034,,,
27,1371,,,,,0.4059999883174896,0.4059999883174896,2.2032649517059326
28,1379,,,0.3408203125,2.5425024032592773,,,
28,1389,,,0.3681640625,2.3783304691314697,,,
28,1399,,,0.3388671875,2.56408429145813,,,
28,1409,,,0.3701171875,2.4226040840148926,,,
28,1419,,,0.3701171875,2.449758291244507,,,
28,1420,,,,,0.4083999991416931,0.4083999991416931,2.262856960296631
29,1429,,,0.369140625,2.503247022628784,,,
29,1439,,,0.3583984375,2.455688238143921,,,
29,1449,,,0.3349609375,2.542534589767456,,,
29,1459,,,0.35546875,2.52315354347229,,,
29,1469,,,0.35023584961891174,2.5665266513824463,,,
29,1469,,,,,0.4083999991416931,0.35600000619888306,2.5644242763519287
30,1470,0.39879998564720154,2.3260107040405273,,,,,
